Dimension index,Feature impact on ground truth logit
0,4.369883060455322
1,3.6608691215515137
7,2.0381088256835938
3,-5.437265872955322
5,-7.69926118850708
6,-8.060678482055664
4,-9.723467826843262
8,-10.601866245269775
2,-10.80500078201294

Dimension index,Feature impact on ground truth logit

Dimension index,Feature impact on ground truth logit

Dimension index,Feature impact on ground truth logit

Dimension index,Feature impact on ground truth logit
21,9.0859375
36,5.97265625
0,4.5625
1,3.73828125
33,3.67578125
28,3.0390625
32,2.765625
18,2.34765625
34,2.33984375
7,2.193359375
37,-0.0390625
45,-0.27734375
43,-0.3359375
29,-0.9921875
11,-1.10546875
23,-1.10546875
41,-2.3515625
13,-3.046875
16,-3.32421875
31,-3.4296875
26,-3.48046875
46,-3.55859375
10,-3.66796875
44,-4.8828125
22,-5.00390625
3,-5.2109375
20,-5.4609375
15,-6.775390625
42,-6.79296875
40,-6.798828125
17,-7.109375
5,-7.484375
6,-7.76953125
14,-8.21875
24,-8.64453125
35,-8.8046875
49,-9.5078125
25,-9.546875
4,-9.55859375
8,-10.49609375
2,-10.50390625
12,-12.109375
39,-12.1630859375
9,-12.220703125
19,-12.3203125
30,-13.138671875
48,-14.3203125
27,-15.89453125
47,-17.1171875
38,-20.08984375

