Dimension,Top Tokens,Top-Token Activations
8," prec,  coffee,  cr,  bare,  stretch,  social","2, 1, 1, 1, 1, 1"
98," banned,  violated,  destroyed,  infringement, itable,  arrested","1, 1, 1, 1, 1, 1"
109, impressive,1
115,Ċ,1
180,"ails, foot, ined, ume, ousal, ill","2, 2, 1, 1, 1, 1"
247,who,1
345," more,  less,  More,  fewer,  better,  greater","3, 2, 2, 2, 2, 1"
367," person,  everyone,  even,  people,  someone","1, 1, 1, 1, 1"
473,"12, 6","1, 1"
477,S,1
488,"end,  evolve,  happened,  grows,  happen,  evolved","1, 1, 1, 1, 1, 1"
500,"The, the,  It,  This, our,  We","1, 1, 1, 1, 1, 1"
529,"In,  in,  proofs,  infringement,  perception","1, 1, 1, 1, 1"
536," You,  If,  you, If, You, if","1, 1, 1, 1, 1, 1"
537,"iless,  unlikely, ied, ering,  anyway,  tired","1, 1, 1, 1, 1, 1"
601," U,  aut,  O,  acc,  P,  ac","1, 1, 1, 1, 1, 1"
651," If, If,  if,  cra,  unless,  cens","1, 1, 1, 1, 1, 1"
660," oil,  rainfall,  burger,  dessert,  cuisine,  cannabis","2, 2, 2, 2, 2, 2"
669," statement,  letter,  post,  methodology,  phrase,  comment","1, 1, 1, 1, 1, 1"
681,"known,  distinctive,  primordial, istic,  Asian,  diverse","1, 1, 1, 1, 1, 1"
852," At,  at,  near,  From,  via,  from","1, 1, 1, 1, 1, 1"
878," buried,  spoken,  meant,  located,  contain,  participate","1, 1, 1, 1, 1, 1"
892," Dirac,  Freud,  suicide,  Hitler, etz,  Bernie","1, 1, 1, 1, 1, 1"
903," COVID,  nuclear,  UFO,  constitutional,  HIV,  secular","1, 1, 1, 1, 1, 1"
954,"Save,  Tour,  swallow,  Seven,  throw, Port","1, 1, 1, 1, 1, 1"
1005," U,  J,  O,  T,  N,  R","2, 2, 1, 1, 1, 1"
1089," consensus,  evidence,  comment,  lawsuit,  Prize,  efforts","1, 1, 1, 1, 1, 1"
1136," deepest,  bed,  Gal,  tar,  book,  fund","1, 1, 1, 1, 1, 1"
1177," Breast,  Joseph,  Christopher,  Claud,  Humans,  Franc","2, 2, 2, 2, 2, 1"
1196," 2001,  2000,  1996,  1961,  2016,  1981","1, 1, 1, 1, 1, 1"
1235," Sym,  Franc,  New,  Ital,  rh,  extr","1, 1, 1, 1, 1, 1"
1258,"uda, iga, 1990,  Way,  career,  twenty","1, 1, 1, 1, 1, 1"
1261," privilege,  Amendment, ability,  identity,  compatibility,  dominance","1, 1, 1, 1, 1, 1"
1269,"'?, ?, )?, ""?","1, 1, 1, 1"
1286," did,  does,  do","1, 1, 1"
1427," logical,  beneficial,  aspects,  objective,  historically, clusively","1, 1, 1, 1, 1, 1"
1495," is,  are,  isn,  was,  becoming,  am","1, 1, 1, 1, 1, 1"
1514,),1
1559," disagree,  reject,  deny,  accept,  blends,  specify","2, 2, 2, 2, 2, 2"
1626,"A,  legal,  illegal, ormal, digit,  legally","2, 1, 1, 1, 1, 1"
1667,":, &,  unlikely, rough, (,  Anto","2, 1, 1, 1, 1, 1"
1762,"5, 4, 6, 2, 3, 10","1, 1, 1, 1, 1, 1"
1779," there,  There","1, 1"
1890, Yes,2
1998,?,1
2032," Dec, ef, Mar,  Kn, ber,  Opp","1, 1, 1, 1, 1, 1"
2078," female,  mob,  monster,  wooden,  dragon,  monkeys","2, 2, 1, 1, 1, 1"
2146,"rico, What,  What,  what,  Bailey,  Pitt","1, 1, 1, 1, 1, 1"
2152," Norway,  Swedish,  Munich,  Belgium,  Dutch,  Bulgaria","2, 2, 2, 2, 2, 2"
2197," banned,  restrictions,  allowed,  prohibited,  required","2, 1, 1, 1, 1"
2220," paran,  subjects,  ethnic,  person,  pet,  animal","2, 2, 2, 1, 1, 1"
2354," alumni,  prominence","1, 1"
2368," You, You,  you,  It,  it,  They","2, 1, 1, 1, 1, 1"
2378," deepest,  fetal","1, 1"
2416,"You,  Have,  forget,  Everyone,  everyone,  knew","2, 2, 2, 2, 2, 2"
2461," next,  important,  recent,  Future,  crucial,  potential","1, 1, 1, 1, 1, 1"
2479,"What, what,  What","1, 1, 1"
2480," are, end,  is, 're,  has, pose","1, 1, 1, 1, 1, 1"
2481," Five,  Many, What,  five,  eight,  What","1, 1, 1, 1, 1, 1"
2544," rub,  washing,  tap,  chop,  boo,  ding","2, 2, 2, 2, 2, 2"
2559," Barack,  Sarah,  Obama,  Clinton,  Who,  wife","2, 2, 2, 2, 2, 2"
2617,"3, 1, 9, 2, 4, 13","2, 1, 1, 1, 1, 1"
2677," their,  his,  her,  your,  our,  Their","1, 1, 1, 1, 1, 1"
2732," hospitals,  illness,  shark,  radiation,  ceremonies, olphin","1, 1, 1, 1, 1, 1"
2822," easiest,  largest,  biggest,  deepest,  brightest,  most","1, 1, 1, 1, 1, 1"
2827," Schw,  T, D, St,  Wal,  Tar","1, 1, 1, 1, 1, 1"
2925, stereotypes,1
2928," incon,  foreigners","1, 1"
2985,the,1
2998,"Qu,  Pl,  aren, Be,  didn,  weren","1, 1, 1, 1, 1, 1"
3053, (,1
3056,"clusively,  Yes, inally,  possibly","1, 1, 1, 1"
3057,:,1
3071," consistently,  effectively,  recently,  severely, facing,  keeps","1, 1, 1, 1, 1, 1"
3093,clusively,1
3104,"more,  Bach, bron,  Auto,  Be,  Ald","1, 1, 1, 1, 1, 1"
3119, and,1
3122," photo,  sky,  surface,  decades,  whole,  verge","1, 1, 1, 1, 1, 1"
3145," York,  Angeles,  City,  Toronto,  Disney,  Dublin","2, 2, 2, 1, 1, 1"
3158,'s,1
3179," (, (,  What, Q,  Does, What","3, 2, 2, 2, 2, 2"
3188," Luxem,  Le,  Bor,  Barcelona,  En, El","2, 2, 2, 2, 2, 2"
3260,"Ċ, t,  2001, 1990,  Father, 't","1, 1, 1, 1, 1, 1"
3319," way,  weeks,  how,  How","1, 1, 1, 1"
3392,immer,1
3398," buy,  putting,  gained,  send,  giving,  leaving","1, 1, 1, 1, 1, 1"
3419," II,  HIV,  nuclear,  Caribbean,  continental,  gastrointestinal","3, 3, 3, 3, 3, 3"
3429," Hillary,  Barack,  Bill, ater,  Donald,  Sarah","2, 1, 1, 1, 1, 1"
3457, than,1
3505,"ials,  recordings,  perception,  networks,  elements,  systems","1, 1, 1, 1, 1, 1"
3529," Dec, El,  Ste,  El,  Clint,  Nut","1, 1, 1, 1, 1, 1"
3579," The,  creates,  Our, The,  called, 're","1, 1, 1, 1, 1, 1"
3635,),1
3648," No,  no","2, 1"
3804," Mirror,  Jur,  Tour,  qual,  Complete,  correlation","1, 1, 1, 1, 1, 1"
3846,S,1
3862," All,  all, All,  everyone,  Everyone,  every","2, 1, 1, 1, 1, 1"
3936,"rious,  nausea, American, opathic,  homosexual, lock","1, 1, 1, 1, 1, 1"
4009," Pitt, mer, ston, ville,  Be, son","1, 1, 1, 1, 1, 1"
4018,Q,1
4047,-,1
4195, impossible,1
4270," UK,  Massachusetts, seat,  US","1, 1, 1, 1"
4298," been,  become,  became, to, pose","1, 1, 1, 1, 1"
4365," nothing,  Nothing,  never, 't, t,  not","2, 1, 1, 1, 1, 1"
4504," greatest,  richest,  delicious,  deepest,  largest,  Rich","1, 1, 1, 1, 1, 1"
4541,"?, '?, S, )?, .?,  doubt","1, 1, 1, 1, 1, 1"
4594, that,1
4604," Char,  Lis,  Thornton,  suff,  Trials,  Mor","3, 3, 2, 2, 2, 2"
4695,",,  euthan","1, 1"
4743," New,  able,  Spain,  Puerto,  Canada,  Mexico","1, 1, 1, 1, 1, 1"
4797," typically,  Should,  may,  must,  might, clusively","1, 1, 1, 1, 1, 1"
4803," prominence,  harm,  benefits,  purpose,  influence,  beneficial","1, 1, 1, 1, 1, 1"
4843,including,1
4910," replaced,  sentenced,  moved,  devoted,  stolen,  lost","3, 3, 2, 2, 2, 2"
4971,"rop, ract, son","1, 1, 1"
4974," happens,  happened,  happen,  evolve,  contribute,  breathe","1, 1, 1, 1, 1, 1"
5099,"illi, aqu, uj, ass, isc, ule","1, 1, 1, 1, 1, 1"
5119," crashes,  crashed, inated,  terrible, business,  addictive","2, 1, 1, 1, 1, 1"
