loss,L1 component (0.1x),KL component (1e-07x),MSE component (1x),epoch,step
2590774.0,1.5137895345687866,25199718170624.0,70802.140625,6,24
1275675.625,1.2589454650878906,12473186910208.0,28356.802734375,12,49
750422.5,1.1750142574310303,7316092485632.0,18813.126953125,18,74
132522.03125,1.1282373666763306,1197391478784.0,12782.7744140625,24,99
484578.59375,1.1126741170883179,4722379980800.0,12340.49609375,31,124
403564.15625,1.0799559354782104,3933807837184.0,10183.25390625,37,149
322830.34375,1.032533884048462,3143220854784.0,8508.1591796875,43,174
42532.75390625,0.9841673970222473,386721021952.0,3860.55419921875,49,199
144216.640625,0.9614719748497009,1410730950656.0,3143.4541015625,56,224
107506.4140625,0.9346988797187805,1052177399808.0,2288.57470703125,62,249
86688.5,0.9213917851448059,845399195648.0,2148.483154296875,68,274
12780.2490234375,0.8944199085235596,115057311744.0,1274.4283447265625,74,299
45174.76953125,0.8882849812507629,439684628480.0,1206.2169189453125,81,324
