validation loss,epoch,step,training loss,L1 component,MSE component,L0 sparsity
43.61587905883789,0,2,,,,
54.67466354370117,1,5,,,,
53.51557159423828,2,8,,,,
43.48218536376953,3,11,,,,
32.69041061401367,4,14,,,,
24.647727966308594,5,17,,,,
,6,19,22.774730682373047,0.4528195858001709,22.321910858154297,236.10232543945312
20.189523696899414,6,20,,,,
18.087587356567383,7,23,,,,
17.168167114257812,8,26,,,,
16.77901840209961,9,29,,,,
16.648996353149414,10,32,,,,
16.594751358032227,11,35,,,,
16.566274642944336,12,38,,,,
,13,39,16.526981353759766,0.030390102416276932,16.496591567993164,18.595680236816406
16.55584144592285,13,41,,,,
16.550350189208984,14,44,,,,
16.552486419677734,15,47,,,,
16.544328689575195,16,50,,,,
16.540264129638672,17,53,,,,
16.546796798706055,18,56,,,,
,19,59,16.478534698486328,0.01789669692516327,16.460636138916016,0.7399038076400757
16.54373550415039,19,59,,,,
16.55295753479004,20,62,,,,
