validation loss,epoch,step,training loss,L1 component,MSE component,L0 sparsity
7.916863441467285,0,2,,,,
,1,4,6.383448600769043,0.0001751570525811985,6.383274078369141,754.7896728515625
7.479356288909912,1,5,,,,
5.679457187652588,2,8,,,,
,3,9,6.125945568084717,8.757900650380179e-05,6.125857830047607,312.276611328125
2.5256009101867676,3,11,,,,
,4,14,3.5754294395446777,4.7133828047662973e-05,3.5753824710845947,103.68352508544922
0.9718825221061707,4,14,,,,
0.47278517484664917,5,17,,,,
,6,19,0.46604976058006287,2.8379823561408557e-05,0.4660213589668274,24.527050018310547
0.36372074484825134,6,20,,,,
0.3391629457473755,7,23,,,,
,8,24,0.4186369776725769,2.0489878806984052e-05,0.41861650347709656,15.573251724243164
0.33409133553504944,8,26,,,,
,9,29,0.34189701080322266,1.8112576071871445e-05,0.34187889099121094,12.680671691894531
0.333007276058197,9,29,,,,
0.33174097537994385,10,32,,,,
,11,34,0.3341217637062073,1.8015371097135358e-05,0.3341037333011627,11.0936279296875
0.3301617205142975,11,35,,,,
0.3296447992324829,12,38,,,,
,13,39,0.33220532536506653,1.820800571294967e-05,0.33218711614608765,10.976578712463379
0.3278358280658722,13,41,,,,
,14,44,0.3250279128551483,1.7473657862865366e-05,0.3250104784965515,10.966318130493164
0.3263876438140869,14,44,,,,
0.3260248601436615,15,47,,,,
,16,49,0.32512366771698,1.7144928278867155e-05,0.32510656118392944,11.163992881774902
0.3264750838279724,16,50,,,,
0.32474416494369507,17,53,,,,
,18,54,0.3245393633842468,1.7355196177959442e-05,0.3245220184326172,11.259817123413086
0.3246581554412842,18,56,,,,
,19,59,0.3235793709754944,1.7563383153174073e-05,0.32356178760528564,11.304593086242676
0.32525715231895447,19,59,,,,
0.3245578408241272,20,62,,,,
,21,64,0.32633519172668457,1.753091964928899e-05,0.3263176679611206,11.07774829864502
0.32633787393569946,21,65,,,,
0.32712703943252563,22,68,,,,
,23,69,0.32698869705200195,1.736042759148404e-05,0.3269713521003723,11.205303192138672
0.3275790810585022,23,71,,,,
