Dimension,Top Tokens,Top-Token Activations
158," What,  How,  help,  patients,  Who,  cars","3, 2, 2, 2, 2, 2"
185," provided, istic,  bar,  effects,  corrupted,  accessible","1, 1, 1, 1, 1, 1"
205,"am,  time, erv, math, ates","1, 1, 1, 1, 1"
230," Zealand,  Santa,  foods, activity,  crimes,  axe","1, 1, 1, 1, 1, 1"
238," Dec,  alcohol,  Gal,  involving,  brewing, )","2, 2, 2, 2, 2, 2"
325," affordable,  Ru,  severely, ahn,  pneumonia,  instantly","1, 1, 1, 1, 1, 1"
477," person,  spider,  people,  individuals,  imm,  human","1, 1, 1, 1, 1, 1"
607," eco,  indoors,  scenario,  participate,  tall, regulated","1, 1, 1, 1, 1, 1"
716,"'t,  not,  Not, anks,  never","2, 1, 1, 1, 1"
1073," The, A, B, C, D, E","2, 1, 1, 1, 1, 1"
1126, mob,1
1220,ond,1
1247," Fire, oston,  Ro,  Pink,  Rec,  smaller","1, 1, 1, 1, 1, 1"
1368," by, ill, rom, ore,  W, op","1, 1, 1, 1, 1, 1"
1435," Bro,  nearly,  onto,  financial,  influence,  Burg","1, 1, 1, 1, 1, 1"
1617," less,  more,  fewer","1, 1, 1"
1764,h,1
1791,"1, 4, 5, 2, 6, 11","3, 2, 2, 2, 2, 2"
1817,"Q, R","1, 1"
1968,"6, 4, 5, 3, 2, 7","4, 4, 4, 4, 3, 3"
2005,"including, eld,  anxiety,  crew,  chlor,  crazy","1, 1, 1, 1, 1, 1"
2129,"1,  speaks,  wounded,  Vamp, uther,  1","2, 1, 1, 1, 1, 1"
2436,"10, 11, 5, 7, 8, 9","1, 1, 1, 1, 1, 1"
2504,"ied, ov,  gen,  affordable,  Ru,  severely","2, 2, 2, 1, 1, 1"
2658," Gu,  Cont,  temperature,  Qu,  l,  e","1, 1, 1, 1, 1, 1"
2702," books,  establish,  Art,  Char,  led,  June","1, 1, 1, 1, 1, 1"
2704," Dec,  alcohol,  Gal,  involving,  brewing, h","1, 1, 1, 1, 1, 1"
2728," Sun,  inform,  argument,  System,  global,  designed","1, 1, 1, 1, 1, 1"
2782," What,  Do,  host,  Which,  thousands, FI","3, 3, 3, 3, 3, 3"
3106,dan,1
3160," California,  Australia,  Kansas,  Pirates,  Less,  Wales","2, 2, 2, 2, 2, 2"
3235,:,2
3341," did,  sign,  att, hen, ?"",  praying","2, 2, 2, 2, 2, 2"
3447," Neural, tox,  Christians,  illust, Cap,  Cra","1, 1, 1, 1, 1, 1"
3541," La,  independent,  statement,  online,  tou,  claims","1, 1, 1, 1, 1, 1"
3606," founders,  consent,  entrepreneur,  souls,  ruin,  Vent","1, 1, 1, 1, 1, 1"
3663,"(,  (, ly,  Dec,  alcohol,  Gal","3, 3, 3, 1, 1, 1"
3772,"?, ""?,  tons","1, 1, 1"
3802," privilege, rapper,  ash,  grasp,  foil, uncture","1, 1, 1, 1, 1, 1"
3828,"'ve,  deepest,  path,  have, fe","1, 1, 1, 1, 1"
3848," future,  ill,  drug,  Way,  Report,  artists","1, 1, 1, 1, 1, 1"
3881," worked,  eight,  euthan","1, 1, 1"
3972,"jug,  Jonathan,  confidential,  sour,  Nelson,  definite","1, 1, 1, 1, 1, 1"
4056," opened,  meant,  victim,  reduces,  keeps,  regulate","1, 1, 1, 1, 1, 1"
4282," seeks, ringer","1, 1"
4436, no,1
4459," There,  light","1, 1"
4477," largest,  mental,  Day,  spectacular,  reserves,  herb","1, 1, 1, 1, 1, 1"
4606,"10, 4","1, 1"
4636,"Q, R","2, 2"
4685," club,  venom,  increases, ette, S, T","1, 1, 1, 1, 1, 1"
4736," you,  You,  cre,  they,  we,  Your","3, 3, 3, 1, 1, 1"
4755," all,  All,  Than,  least,  whole, ogen","2, 2, 2, 2, 1, 1"
4850," seven,  9,  gluten,  airplane, oy, rit","1, 1, 1, 1, 1, 1"
4951,),1
