Dimension,Top Tokens,Top-Token Activations
376, The,1
394,.,1
571," (, Ċ,  you","1, 1, 1"
1249," dis,  Luxem, San,  San,  Saint,  Scandin","2, 2, 2, 2, 2, 2"
1283," did,  really,  actually,  between,  from,  ind","1, 1, 1, 1, 1, 1"
1289,"'ll,  am,  will,  still,  always, 'm","2, 1, 1, 1, 1, 1"
1316,Q,1
1391," Norway,  Norwegian,  Soviet,  Nigeria,  China,  Kuwait","2, 1, 1, 1, 1, 1"
1497," describe,  concerns,  mention,  associated,  specify,  consider","1, 1, 1, 1, 1, 1"
1610, real,1
1644, than,1
1669, scientifically,1
1739, Their,1
1750," At,  On,  By,  upon,  over,  Over","1, 1, 1, 1, 1, 1"
1852," touch,  rub,  Tiger,  prick,  tap,  Pink","2, 2, 2, 2, 2, 2"
1921," 1961,  1940,  1990, 1990,  2001,  1918","1, 1, 1, 1, 1, 1"
2040, Yes,1
2100,"A,  A","2, 1"
2206," P,  p,  sp","1, 1, 1"
2235,(,1
2286,:,1
2287,"What,  What,  Who,  How,  Where,  what","1, 1, 1, 1, 1, 1"
2391," Way,  illness, seat,  Prize,  infringement,  disorders","2, 2, 2, 2, 2, 2"
2508,"the,  the, The","1, 1, 1"
2511," has,  hasn,  have,  reads,  poses,  works","2, 2, 1, 1, 1, 1"
2566," likely,  proven,  unlikely, known,  possible,  accessible","1, 1, 1, 1, 1, 1"
2593,S,1
2601," been,  be","1, 1"
2699,rectomy,1
2813,"5, 7, 9, 8, 4, 10","1, 1, 1, 1, 1, 1"
2913," more,  less,  shorter,  fewer,  harder,  better","2, 1, 1, 1, 1, 1"
3018,"Ċ,  doesn, oxid,  hasn,  instead,  don","1, 1, 1, 1, 1, 1"
3020," cogn,  Predict,  trick,  dishon, A,  trapped","2, 2, 2, 2, 2, 2"
3023, maid,1
3131,"?, '?, ""?, )?, .?, ?""","2, 2, 2, 2, 1, 1"
3143," weeks, ule,  month","1, 1, 1"
3292, All,1
3392, Barack,1
3454,".,",1
3639,32,1
3967,ney,1
